id,temperature,humidity,timeRecorded,ldrValue
52,30.1,70.7,2025-02-18 11:48:07,999.99
53,30.1,70.8,2025-02-18 11:48:13,999.99
54,30.1,70.8,2025-02-18 11:48:18,999.99
55,30.1,70.8,2025-02-18 11:48:23,999.99
56,30.1,70.8,2025-02-18 11:48:28,999.99
57,30.1,70.8,2025-02-18 11:48:34,999.99
58,30.1,70.8,2025-02-18 11:48:39,999.99
59,30.1,70.8,2025-02-18 11:48:44,999.99
60,30.1,70.8,2025-02-18 11:48:49,999.99
61,30.1,70.8,2025-02-18 11:48:55,999.99
62,30.1,70.8,2025-02-18 11:49:00,999.99
63,30.1,70.8,2025-02-18 11:49:06,999.99
64,30.1,70.7,2025-02-18 11:49:12,999.99
65,30.1,70.7,2025-02-18 11:49:18,999.99
66,30.1,70.7,2025-02-18 11:49:23,999.99
67,30.1,70.8,2025-02-18 11:49:28,999.99
68,30.2,70.7,2025-02-18 11:49:33,999.99
69,30.2,70.8,2025-02-18 11:49:39,999.99
70,30.1,70.8,2025-02-18 11:49:44,999.99
71,30.2,70.7,2025-02-18 11:49:50,999.99
72,30.2,70.7,2025-02-18 11:49:55,999.99
73,30.2,70.7,2025-02-18 11:50:00,999.99
74,30.2,70.7,2025-02-18 11:50:05,999.99
75,30.2,70.7,2025-02-18 11:50:10,999.99
76,30.2,70.6,2025-02-18 11:50:16,999.99
77,30.2,70.6,2025-02-18 11:50:21,999.99
78,30.2,70.4,2025-02-18 11:50:26,999.99
79,30.2,70.4,2025-02-18 11:50:32,999.99
80,30.2,70.4,2025-02-18 11:50:37,999.99
81,30.2,70.3,2025-02-18 11:50:43,999.99
82,30.2,70.4,2025-02-18 11:50:50,999.99
83,30.2,70.3,2025-02-18 11:50:55,999.99
84,30.2,70.3,2025-02-18 11:51:01,999.99
85,30.2,70.3,2025-02-18 11:51:06,999.99
86,30.2,70.4,2025-02-18 11:51:11,999.99
87,30.8,78.8,2025-02-18 11:51:16,999.99
88,30.6,85.5,2025-02-18 11:51:22,999.99
89,30.4,85.5,2025-02-18 11:51:27,999.99
90,30.4,80.0,2025-02-18 11:51:32,999.99
91,30.4,74.2,2025-02-18 11:51:37,999.99
92,30.4,72.0,2025-02-18 11:51:42,999.99
93,30.4,71.0,2025-02-18 11:51:47,999.99
94,30.4,70.7,2025-02-18 11:51:53,999.99
95,30.4,70.6,2025-02-18 11:51:58,999.99
96,30.4,70.4,2025-02-18 11:52:03,999.99
97,30.4,70.4,2025-02-18 11:52:08,999.99
98,30.4,70.4,2025-02-18 11:52:13,999.99
99,30.4,70.3,2025-02-18 11:52:18,999.99
100,30.4,70.4,2025-02-18 11:52:23,999.99
101,30.4,70.4,2025-02-18 11:52:28,999.99
102,30.4,70.3,2025-02-18 11:52:34,999.99
103,30.4,70.3,2025-02-18 11:52:39,999.99
104,30.4,70.2,2025-02-18 11:52:44,999.99
105,30.4,70.3,2025-02-18 11:52:49,999.99
106,30.4,70.3,2025-02-18 11:52:55,999.99
107,30.4,70.5,2025-02-18 11:53:00,999.99
108,30.4,70.6,2025-02-18 11:53:05,999.99
109,30.5,70.6,2025-02-18 11:53:10,999.99
110,30.6,70.5,2025-02-18 11:53:15,999.99
111,30.7,70.2,2025-02-18 11:53:20,999.99
112,30.8,69.8,2025-02-18 11:53:25,999.99
113,30.9,69.6,2025-02-18 11:53:31,999.99
114,31.0,69.2,2025-02-18 11:53:36,999.99
115,31.1,68.8,2025-02-18 11:53:41,999.99
116,31.1,68.6,2025-02-18 11:53:46,999.99
117,31.2,68.4,2025-02-18 11:53:51,999.99
118,31.2,68.4,2025-02-18 11:53:56,999.99
119,31.3,68.4,2025-02-18 11:54:02,999.99
120,31.4,68.0,2025-02-18 11:54:07,999.99
121,31.4,67.7,2025-02-18 11:54:12,999.99
122,31.5,67.1,2025-02-18 11:54:17,999.99
123,31.5,66.9,2025-02-18 11:54:22,999.99
124,31.6,67.0,2025-02-18 11:54:27,999.99
125,31.6,66.8,2025-02-18 11:54:32,999.99
126,31.7,66.8,2025-02-18 11:54:38,999.99
127,31.7,66.6,2025-02-18 11:54:43,999.99
128,31.7,66.4,2025-02-18 11:54:48,999.99
129,31.8,66.5,2025-02-18 11:54:53,999.99
130,31.9,66.3,2025-02-18 11:54:58,999.99
131,31.9,66.4,2025-02-18 11:55:04,999.99
132,31.9,66.3,2025-02-18 11:55:09,999.99
133,32.0,66.2,2025-02-18 11:55:14,999.99
134,32.0,65.9,2025-02-18 11:55:19,999.99
135,32.0,65.8,2025-02-18 11:55:24,999.99
136,32.1,65.5,2025-02-18 11:55:30,999.99
137,32.1,65.7,2025-02-18 11:55:35,999.99
138,32.1,65.5,2025-02-18 11:55:40,999.99
139,32.2,65.4,2025-02-18 11:55:45,999.99
140,32.2,65.6,2025-02-18 11:55:50,999.99
141,32.2,65.3,2025-02-18 11:55:55,999.99
142,32.2,65.6,2025-02-18 11:56:00,999.99
143,32.2,65.8,2025-02-18 11:56:06,999.99
144,32.3,65.5,2025-02-18 11:56:11,999.99
145,32.3,65.1,2025-02-18 11:56:16,999.99
146,32.3,64.9,2025-02-18 11:56:21,999.99
147,32.3,65.0,2025-02-18 11:56:26,999.99
148,32.3,64.8,2025-02-18 11:56:32,999.99
149,32.3,64.6,2025-02-18 11:56:37,999.99
150,32.3,64.6,2025-02-18 11:56:42,999.99
151,32.3,64.7,2025-02-18 11:56:47,999.99
152,32.3,64.6,2025-02-18 11:56:53,999.99
153,32.3,64.8,2025-02-18 11:56:58,999.99
154,32.3,64.6,2025-02-18 11:57:03,999.99
155,32.3,64.5,2025-02-18 11:57:08,999.99
156,32.3,64.6,2025-02-18 11:57:13,999.99
157,32.3,64.8,2025-02-18 11:57:18,999.99
158,32.2,64.7,2025-02-18 11:57:24,999.99
159,32.3,65.0,2025-02-18 11:57:29,999.99
160,32.3,64.8,2025-02-18 11:57:34,999.99
161,32.3,64.8,2025-02-18 11:57:39,999.99
162,32.3,64.9,2025-02-18 11:57:45,999.99
163,32.3,65.1,2025-02-18 11:57:50,999.99
164,32.3,65.0,2025-02-18 11:57:55,999.99
165,32.3,64.9,2025-02-18 11:58:01,999.99
166,32.4,64.8,2025-02-18 11:58:06,999.99
167,32.4,64.5,2025-02-18 11:58:11,999.99
168,32.4,64.4,2025-02-18 11:58:16,999.99
169,32.4,64.4,2025-02-18 11:58:22,999.99
170,32.4,64.5,2025-02-18 11:58:27,999.99
171,32.4,64.4,2025-02-18 11:58:32,999.99
172,32.4,64.6,2025-02-18 11:58:37,999.99
173,32.4,64.5,2025-02-18 11:58:43,999.99
174,32.4,64.3,2025-02-18 11:58:48,999.99
175,32.4,64.1,2025-02-18 11:58:53,999.99
176,32.4,64.3,2025-02-18 11:58:58,999.99
177,32.4,64.2,2025-02-18 11:59:04,999.99
178,32.4,64.5,2025-02-18 11:59:09,999.99
179,32.4,64.6,2025-02-18 11:59:14,999.99
180,32.4,64.7,2025-02-18 11:59:20,999.99
181,32.4,64.7,2025-02-18 11:59:25,999.99
182,32.4,64.4,2025-02-18 11:59:30,999.99
183,32.4,64.3,2025-02-18 11:59:36,999.99
184,32.5,64.1,2025-02-18 11:59:41,999.99
185,32.5,64.2,2025-02-18 11:59:46,999.99
186,32.5,64.1,2025-02-18 11:59:52,999.99
187,32.5,64.0,2025-02-18 11:59:57,999.99
188,32.5,64.0,2025-02-18 12:00:02,999.99
189,32.5,63.9,2025-02-18 12:00:08,999.99
190,32.5,64.0,2025-02-18 12:00:13,999.99
191,32.5,64.0,2025-02-18 12:00:19,999.99
192,32.5,64.0,2025-02-18 12:00:24,999.99
193,32.5,64.1,2025-02-18 12:00:29,999.99
194,32.5,64.1,2025-02-18 12:00:35,999.99
195,32.5,64.0,2025-02-18 12:00:40,999.99
196,32.5,64.0,2025-02-18 12:00:46,999.99
197,32.5,63.9,2025-02-18 12:00:51,999.99
198,32.5,64.0,2025-02-18 12:00:56,999.99
199,32.4,64.0,2025-02-18 12:01:02,999.99
200,32.5,64.1,2025-02-18 12:01:07,999.99
201,32.5,64.1,2025-02-18 12:01:12,999.99
202,32.5,64.1,2025-02-18 12:01:18,999.99
203,32.5,64.2,2025-02-18 12:01:23,999.99
204,32.5,64.0,2025-02-18 12:01:28,999.99
205,32.5,64.0,2025-02-18 12:01:33,999.99
206,32.5,64.0,2025-02-18 12:01:38,999.99
207,32.5,63.8,2025-02-18 12:01:44,999.99
208,32.5,63.9,2025-02-18 12:01:49,999.99
209,32.5,63.9,2025-02-18 12:01:54,999.99
210,32.5,63.8,2025-02-18 12:01:59,999.99
211,32.5,63.7,2025-02-18 12:02:05,999.99
212,32.5,63.7,2025-02-18 12:02:10,999.99
213,32.5,63.8,2025-02-18 12:02:15,999.99
214,32.5,63.6,2025-02-18 12:02:20,999.99
215,32.5,63.6,2025-02-18 12:02:26,999.99
216,32.5,63.4,2025-02-18 12:02:31,999.99
217,32.5,63.4,2025-02-18 12:02:36,999.99
218,32.5,63.5,2025-02-18 12:02:41,999.99
219,32.5,63.6,2025-02-18 12:02:47,999.99
220,32.5,63.7,2025-02-18 12:02:52,999.99
221,32.5,63.5,2025-02-18 12:02:57,999.99
222,32.5,63.7,2025-02-18 12:03:02,999.99
223,32.5,63.8,2025-02-18 12:03:08,999.99
224,32.5,63.7,2025-02-18 12:03:13,999.99
225,32.5,63.7,2025-02-18 12:03:18,999.99
226,32.5,63.6,2025-02-18 12:03:23,999.99
227,32.5,63.4,2025-02-18 12:03:28,999.99
228,32.5,63.6,2025-02-18 12:03:34,999.99
229,32.5,63.5,2025-02-18 12:03:39,999.99
230,32.5,63.3,2025-02-18 12:03:44,999.99
231,32.5,63.4,2025-02-18 12:03:49,999.99
232,32.5,63.4,2025-02-18 12:03:54,999.99
233,32.5,63.3,2025-02-18 12:04:00,999.99
234,32.4,63.4,2025-02-18 12:04:05,999.99
235,32.4,63.6,2025-02-18 12:04:10,999.99
236,32.4,63.8,2025-02-18 12:04:16,999.99
237,32.4,63.6,2025-02-18 12:04:21,999.99
238,32.4,63.6,2025-02-18 12:04:26,999.99
239,32.4,63.8,2025-02-18 12:04:31,999.99
240,32.4,63.7,2025-02-18 12:04:37,999.99
241,32.4,63.7,2025-02-18 12:04:42,999.99
242,32.5,63.7,2025-02-18 12:04:47,999.99
243,32.4,63.5,2025-02-18 12:04:52,999.99
244,32.5,63.6,2025-02-18 12:04:57,999.99
245,32.5,63.9,2025-02-18 12:05:03,999.99
246,32.5,63.9,2025-02-18 12:05:08,999.99
247,32.5,63.9,2025-02-18 12:05:13,999.99
248,32.5,63.6,2025-02-18 12:05:18,999.99
249,32.5,63.6,2025-02-18 12:05:24,999.99
250,32.6,63.5,2025-02-18 12:05:29,999.99
251,32.6,63.5,2025-02-18 12:05:34,999.99
252,32.6,63.5,2025-02-18 12:05:39,999.99
253,32.6,63.2,2025-02-18 12:05:45,999.99
254,32.6,63.1,2025-02-18 12:05:50,999.99
255,32.6,63.2,2025-02-18 12:05:55,999.99
256,32.6,63.3,2025-02-18 12:06:01,999.99
257,32.6,63.3,2025-02-18 12:06:06,999.99
258,32.6,63.3,2025-02-18 12:06:11,999.99
259,32.6,63.2,2025-02-18 12:06:16,999.99
260,32.6,63.1,2025-02-18 12:06:21,999.99
261,32.6,63.0,2025-02-18 12:06:27,999.99
262,32.7,63.1,2025-02-18 12:06:32,999.99
263,32.7,63.2,2025-02-18 12:06:37,999.99
264,32.7,63.3,2025-02-18 12:06:42,999.99
265,32.7,63.3,2025-02-18 12:06:48,999.99
266,32.7,63.3,2025-02-18 12:06:53,999.99
267,32.7,63.4,2025-02-18 12:06:58,999.99
268,32.7,63.0,2025-02-18 12:07:03,999.99
269,32.7,63.0,2025-02-18 12:07:08,999.99
270,32.7,63.1,2025-02-18 12:07:14,999.99
271,32.7,63.2,2025-02-18 12:07:19,999.99
272,32.8,62.9,2025-02-18 12:07:24,999.99
273,32.8,62.8,2025-02-18 12:07:29,999.99
274,32.8,62.9,2025-02-18 12:07:34,999.99
275,32.8,62.8,2025-02-18 12:07:40,999.99
276,32.8,62.7,2025-02-18 12:07:45,999.99
277,32.8,62.9,2025-02-18 12:07:50,999.99
278,32.8,62.9,2025-02-18 12:07:56,999.99
279,32.8,62.8,2025-02-18 12:08:01,999.99
280,32.8,62.8,2025-02-18 12:08:06,999.99
281,32.8,62.8,2025-02-18 12:08:11,999.99
282,32.8,62.7,2025-02-18 12:08:16,999.99
283,32.8,62.7,2025-02-18 12:08:22,999.99
284,32.8,62.8,2025-02-18 12:08:27,999.99
285,32.8,63.0,2025-02-18 12:08:32,999.99
286,32.8,63.0,2025-02-18 12:08:37,999.99
287,32.8,62.8,2025-02-18 12:08:43,999.99
288,32.9,63.0,2025-02-18 12:08:48,999.99
289,32.9,63.0,2025-02-18 12:08:53,999.99
290,32.9,62.8,2025-02-18 12:08:58,999.99
291,32.9,62.8,2025-02-18 12:09:03,999.99
292,32.9,62.9,2025-02-18 12:09:09,999.99
293,32.9,62.7,2025-02-18 12:09:14,999.99
294,32.9,62.6,2025-02-18 12:09:19,999.99
295,32.9,62.7,2025-02-18 12:09:24,999.99
296,33.0,62.7,2025-02-18 12:09:30,999.99
297,33.0,62.7,2025-02-18 12:09:35,999.99
298,33.0,62.6,2025-02-18 12:09:40,999.99
299,33.0,62.7,2025-02-18 12:09:45,999.99
300,33.0,62.6,2025-02-18 12:09:51,999.99
301,33.0,62.5,2025-02-18 12:09:56,999.99
302,33.0,62.5,2025-02-18 12:10:01,999.99
303,33.0,62.4,2025-02-18 12:10:06,999.99
304,33.0,62.5,2025-02-18 12:10:12,999.99
305,33.1,62.5,2025-02-18 12:10:17,999.99
306,33.0,62.3,2025-02-18 12:10:22,999.99
307,33.1,62.4,2025-02-18 12:10:31,999.99
308,33.1,62.2,2025-02-18 12:10:36,999.99
309,33.1,62.3,2025-02-18 12:10:41,999.99
310,33.1,62.3,2025-02-18 12:10:47,999.99
311,33.1,62.2,2025-02-18 12:10:52,999.99
312,33.1,62.2,2025-02-18 12:10:57,999.99
313,33.1,62.4,2025-02-18 12:11:02,999.99
314,33.1,62.6,2025-02-18 12:11:08,999.99
315,33.1,62.5,2025-02-18 12:11:13,999.99
316,33.1,62.1,2025-02-18 12:11:18,999.99
317,33.1,62.2,2025-02-18 12:11:23,999.99
318,33.1,62.1,2025-02-18 12:11:28,999.99
319,33.1,62.0,2025-02-18 12:11:34,999.99
320,33.1,62.0,2025-02-18 12:11:39,999.99
321,33.1,62.1,2025-02-18 12:11:44,999.99
322,33.1,62.0,2025-02-18 12:11:49,999.99
323,33.1,61.9,2025-02-18 12:11:55,999.99
324,33.1,61.9,2025-02-18 12:12:00,999.99
325,33.1,61.9,2025-02-18 12:12:05,999.99
326,33.1,61.9,2025-02-18 12:12:10,999.99
327,33.1,62.2,2025-02-18 12:12:16,999.99
328,33.1,62.3,2025-02-18 12:12:21,999.99
329,33.1,62.3,2025-02-18 12:12:26,999.99
330,33.1,62.4,2025-02-18 12:12:31,999.99
331,33.1,62.3,2025-02-18 12:12:36,999.99
332,33.1,62.2,2025-02-18 12:12:42,999.99
333,33.1,62.3,2025-02-18 12:12:47,999.99
334,33.1,62.1,2025-02-18 12:12:52,999.99
335,33.1,62.1,2025-02-18 12:12:57,999.99
336,33.1,62.1,2025-02-18 12:13:03,999.99
337,33.1,62.0,2025-02-18 12:13:08,999.99
338,33.1,62.0,2025-02-18 12:13:13,999.99
339,33.1,62.0,2025-02-18 12:13:18,999.99
340,33.1,62.1,2025-02-18 12:13:24,999.99
341,33.1,62.2,2025-02-18 12:13:29,999.99
342,33.1,62.2,2025-02-18 12:13:34,999.99
343,33.1,62.2,2025-02-18 12:13:39,999.99
344,33.2,62.0,2025-02-18 12:13:44,999.99
345,33.1,62.0,2025-02-18 12:13:49,999.99
346,33.2,61.8,2025-02-18 12:13:55,999.99
347,33.2,61.8,2025-02-18 12:14:00,999.99
348,33.2,61.8,2025-02-18 12:14:05,999.99
349,33.2,61.8,2025-02-18 12:14:10,999.99
350,33.2,61.8,2025-02-18 12:14:15,999.99
351,33.2,61.8,2025-02-18 12:14:21,999.99
352,33.2,61.8,2025-02-18 12:14:26,999.99
353,33.2,61.8,2025-02-18 12:14:31,999.99
354,33.2,61.9,2025-02-18 12:14:36,999.99
355,33.2,61.9,2025-02-18 12:14:41,999.99
356,33.2,61.7,2025-02-18 12:14:47,999.99
357,33.3,61.6,2025-02-18 12:14:52,999.99
358,33.3,61.4,2025-02-18 12:14:57,999.99
359,33.2,61.5,2025-02-18 12:15:02,999.99
360,33.3,61.5,2025-02-18 12:15:08,999.99
361,33.2,61.4,2025-02-18 12:15:13,999.99
362,33.2,61.5,2025-02-18 12:15:18,999.99
363,33.2,61.6,2025-02-18 12:15:26,999.99
364,33.2,61.6,2025-02-18 12:15:31,999.99
365,33.2,61.7,2025-02-18 12:15:37,999.99
366,33.2,61.7,2025-02-18 12:15:42,999.99
367,33.2,61.6,2025-02-18 12:15:47,999.99
368,33.2,61.7,2025-02-18 12:15:52,999.99
369,33.2,62.0,2025-02-18 12:15:57,999.99
370,33.2,61.7,2025-02-18 12:16:03,999.99
371,33.1,61.8,2025-02-18 12:16:08,999.99
372,33.1,61.8,2025-02-18 12:16:13,999.99
373,33.1,61.7,2025-02-18 12:16:18,999.99
374,33.1,61.7,2025-02-18 12:16:23,999.99
375,33.1,61.8,2025-02-18 12:16:29,999.99
376,33.1,61.8,2025-02-18 12:16:34,999.99
377,33.1,61.8,2025-02-18 12:16:39,999.99
378,33.1,61.8,2025-02-18 12:16:44,999.99
379,33.1,61.9,2025-02-18 12:16:49,999.99
380,33.0,61.9,2025-02-18 12:16:55,999.99
381,33.0,62.0,2025-02-18 12:17:00,999.99
382,33.0,61.9,2025-02-18 12:17:05,999.99
383,33.0,62.0,2025-02-18 12:17:10,999.99
384,33.1,61.9,2025-02-18 12:17:15,999.99
385,33.0,61.9,2025-02-18 12:17:21,999.99
386,33.0,62.0,2025-02-18 12:17:26,999.99
387,33.0,62.2,2025-02-18 12:17:31,999.99
388,33.0,62.2,2025-02-18 12:17:36,999.99
389,33.0,62.1,2025-02-18 12:17:41,999.99
390,33.0,62.0,2025-02-18 12:17:47,999.99
391,33.0,61.8,2025-02-18 12:17:52,999.99
392,33.0,61.9,2025-02-18 12:17:57,999.99
393,33.0,62.2,2025-02-18 12:18:02,999.99
394,33.0,62.3,2025-02-18 12:18:08,999.99
395,33.0,62.2,2025-02-18 12:18:13,999.99
396,33.0,62.2,2025-02-18 12:18:18,999.99
397,33.0,62.1,2025-02-18 12:18:24,999.99
398,33.0,62.3,2025-02-18 12:18:29,999.99
399,33.0,62.2,2025-02-18 12:18:34,999.99
400,33.0,62.2,2025-02-18 12:18:39,999.99
401,33.0,62.2,2025-02-18 12:18:45,999.99
402,33.1,62.0,2025-02-18 12:18:50,999.99
403,33.0,62.0,2025-02-18 12:18:55,999.99
404,33.0,62.1,2025-02-18 12:19:00,999.99
405,33.0,62.2,2025-02-18 12:19:06,999.99
406,33.0,62.3,2025-02-18 12:19:11,999.99
407,33.0,62.3,2025-02-18 12:19:16,999.99
408,33.0,62.2,2025-02-18 12:19:21,999.99
409,33.0,62.1,2025-02-18 12:19:26,999.99
410,33.0,62.2,2025-02-18 12:19:32,999.99
411,33.0,62.2,2025-02-18 12:19:37,999.99
412,33.0,62.2,2025-02-18 12:19:42,999.99
413,33.0,62.2,2025-02-18 12:19:47,999.99
414,33.0,62.1,2025-02-18 12:19:52,999.99
415,33.0,63.5,2025-02-18 12:19:57,999.99
416,33.0,62.5,2025-02-18 12:20:03,999.99
417,33.0,62.2,2025-02-18 12:20:08,999.99
418,32.9,62.3,2025-02-18 12:20:13,999.99
419,32.8,62.4,2025-02-18 12:20:18,999.99
420,32.8,62.6,2025-02-18 12:20:23,999.99
421,32.7,62.7,2025-02-18 12:20:29,999.99
422,32.6,63.0,2025-02-18 12:20:34,999.99
423,32.5,63.1,2025-02-18 12:20:39,999.99
424,32.5,63.4,2025-02-18 12:20:44,999.99
425,32.4,63.6,2025-02-18 12:20:50,999.99
426,32.3,63.7,2025-02-18 12:20:55,999.99
427,32.2,64.0,2025-02-18 12:21:00,999.99
428,32.1,64.2,2025-02-18 12:21:06,999.99
429,32.1,64.4,2025-02-18 12:21:11,999.99
430,32.0,64.6,2025-02-18 12:21:16,999.99
431,32.0,64.7,2025-02-18 12:21:21,999.99
432,31.9,65.0,2025-02-18 12:21:26,999.99
433,31.9,65.0,2025-02-18 12:21:32,999.99
434,31.8,65.1,2025-02-18 12:21:37,999.99
435,31.8,65.1,2025-02-18 12:21:42,999.99
436,31.7,65.1,2025-02-18 12:21:47,999.99
437,31.7,65.2,2025-02-18 12:21:52,999.99
438,31.6,65.3,2025-02-18 12:21:58,999.99
439,31.6,65.5,2025-02-18 12:22:03,999.99
440,31.6,65.6,2025-02-18 12:22:08,999.99
441,31.6,65.7,2025-02-18 12:22:14,999.99
442,31.5,65.8,2025-02-18 12:22:19,999.99
443,31.5,65.9,2025-02-18 12:22:24,999.99
444,31.4,66.0,2025-02-18 12:22:29,999.99
445,31.4,66.1,2025-02-18 12:22:35,999.99
446,31.4,66.1,2025-02-18 12:22:40,999.99
447,31.4,66.3,2025-02-18 12:22:45,999.99
448,31.4,66.3,2025-02-18 12:22:50,999.99
449,31.3,66.4,2025-02-18 12:22:56,999.99
450,31.3,66.8,2025-02-18 12:23:01,999.99
451,31.3,67.4,2025-02-18 12:23:06,999.99
452,31.3,67.8,2025-02-18 12:23:11,999.99
453,31.3,67.3,2025-02-18 12:23:17,999.99
454,31.3,67.3,2025-02-18 12:23:22,999.99
455,31.3,67.5,2025-02-18 12:23:27,999.99
456,31.2,67.1,2025-02-18 12:23:32,999.99
457,31.2,66.9,2025-02-18 12:23:38,999.99
458,31.2,66.9,2025-02-18 12:23:43,999.99
459,31.2,67.0,2025-02-18 12:23:48,999.99
460,31.2,67.0,2025-02-18 12:23:53,999.99
461,31.2,67.0,2025-02-18 12:23:59,999.99
462,31.2,67.0,2025-02-18 12:24:04,999.99
463,31.2,67.1,2025-02-18 12:24:09,999.99
464,31.2,67.1,2025-02-18 12:24:14,999.99
465,31.2,67.1,2025-02-18 12:24:19,999.99
466,31.2,67.1,2025-02-18 12:24:25,999.99
467,31.2,67.0,2025-02-18 12:24:30,999.99
468,31.2,67.0,2025-02-18 12:24:35,999.99
469,31.2,67.2,2025-02-18 12:24:40,999.99
470,31.1,67.2,2025-02-18 12:24:45,999.99
471,31.1,67.1,2025-02-18 12:24:51,999.99
472,31.1,67.2,2025-02-18 12:24:56,999.99
473,31.1,67.2,2025-02-18 12:25:01,999.99
474,31.1,67.3,2025-02-18 12:25:07,999.99
475,31.1,67.2,2025-02-18 12:25:12,999.99
476,31.1,67.3,2025-02-18 12:25:17,999.99
477,31.1,67.3,2025-02-18 12:25:22,999.99
478,31.1,67.3,2025-02-18 12:25:27,999.99
479,31.1,67.3,2025-02-18 12:25:32,999.99
480,31.1,67.6,2025-02-18 12:25:37,999.99
481,31.1,67.6,2025-02-18 12:25:43,999.99
482,31.0,67.4,2025-02-18 12:25:48,999.99
483,31.1,67.7,2025-02-18 12:25:53,999.99
484,31.1,67.6,2025-02-18 12:25:58,999.99
485,31.0,67.4,2025-02-18 12:26:03,999.99
486,31.0,67.4,2025-02-18 12:26:09,999.99
487,31.0,67.4,2025-02-18 12:26:14,999.99
488,31.1,67.4,2025-02-18 12:26:19,999.99
489,31.0,67.4,2025-02-18 12:26:24,999.99
490,31.0,67.5,2025-02-18 12:26:30,999.99
491,31.0,67.6,2025-02-18 12:26:35,999.99
492,31.0,67.5,2025-02-18 12:26:40,999.99
493,31.0,67.5,2025-02-18 12:26:45,999.99
494,31.0,67.5,2025-02-18 12:26:50,999.99
495,31.0,67.5,2025-02-18 12:26:56,999.99
496,31.0,67.5,2025-02-18 12:27:01,999.99
497,31.0,67.6,2025-02-18 12:27:06,999.99
498,31.0,67.6,2025-02-18 12:27:11,999.99
499,31.0,67.7,2025-02-18 12:27:16,999.99
500,31.0,67.7,2025-02-18 12:27:22,999.99
501,31.0,67.7,2025-02-18 12:27:27,999.99
502,31.0,67.7,2025-02-18 12:27:32,999.99
503,31.0,67.7,2025-02-18 12:27:37,999.99
504,30.9,67.8,2025-02-18 12:27:42,999.99
505,31.0,67.8,2025-02-18 12:27:47,999.99
506,31.0,67.8,2025-02-18 12:27:53,999.99
507,31.0,67.8,2025-02-18 12:27:58,999.99
508,31.0,67.7,2025-02-18 12:28:03,999.99
509,31.0,67.6,2025-02-18 12:28:09,999.99
510,31.0,67.6,2025-02-18 12:28:14,999.99
511,30.9,67.7,2025-02-18 12:28:19,999.99
512,31.0,67.6,2025-02-18 12:28:24,999.99
513,31.0,67.7,2025-02-18 12:28:29,999.99
514,31.0,67.7,2025-02-18 12:28:35,999.99
515,31.0,67.7,2025-02-18 12:28:40,999.99
516,31.0,67.8,2025-02-18 12:28:45,999.99
